configuration,repetition,f1_macro,accuracy,train_seconds,inference_ms_per_sample,model_size_kb,parameters
svm,42,0.9811507936507937,0.9824561403508771,0.025212499996996485,0.054996491311804244,27.513671875,0
svm_pca,42,0.9718634306869601,0.9736842105263158,0.019116700001177378,0.05294298247654775,15.5986328125,0
random_forest,42,0.9526381387619444,0.956140350877193,0.568144899996696,0.6925491228078803,370.822265625,32
random_forest_pca,42,0.9163609684519443,0.9210526315789473,0.5650504999939585,0.6695271929442115,552.6083984375,0
boosting,42,0.9619111259605746,0.9649122807017544,5.5999519000033615,0.11070789473147638,314.451171875,33
boosting_pca,42,0.9619111259605746,0.9649122807017544,0.7002374000003329,0.0892771929277826,274.294921875,0
svm,43,0.9526381387619444,0.956140350877193,0.024996899999678135,0.08874298241847244,28.529296875,0
svm_pca,43,0.942866688940862,0.9473684210526315,0.020428300005733036,0.06817543857195824,15.6962890625,0
random_forest,43,0.9422297297297297,0.9473684210526315,0.4845591999910539,0.5705578947335629,330.509765625,32
random_forest_pca,43,0.9057539682539683,0.9122807017543859,0.478769099994679,0.5321017543840418,512.755859375,0
boosting,43,0.9422297297297297,0.9473684210526315,0.6970266999996966,0.09349824553314727,321.0830078125,33
boosting_pca,43,0.922972972972973,0.9298245614035088,0.5642124000005424,0.12535175432148798,269.2626953125,0
svm,44,0.981329839502129,0.9824561403508771,0.02490879999822937,0.09832105263883836,31.576171875,0
svm_pca,44,0.9721203228173148,0.9736842105263158,0.02002669998910278,0.05444298240993368,16.2822265625,0
random_forest,44,0.9811507936507937,0.9824561403508771,0.505317399991327,0.5890938596087181,389.728515625,32
random_forest_pca,44,0.9449275362318841,0.9473684210526315,0.4953244999924209,0.5637017543848375,589.3271484375,0
boosting,44,0.9721203228173148,0.9736842105263158,0.719515799995861,0.09540438597405068,315.349609375,33
boosting_pca,44,0.9539245008487591,0.956140350877193,0.5926139999937732,0.09674035084715701,274.841796875,0
